DATE,INTEREST,UNEMPLOYMENT,INFLATION
2013-11-01,0.08,6.9,1.7
2013-12-01,0.09,6.7,1.7
2014-01-01,0.07,6.6,1.6
2014-02-01,0.07,6.7,1.6
2014-03-01,0.08,6.7,1.7
2014-04-01,0.09,6.2,1.8
2014-05-01,0.09,6.3,2.0
2014-06-01,0.1,6.1,1.9
2014-07-01,0.09,6.2,1.9
2014-08-01,0.09,6.2,1.7
2014-09-01,0.09,5.9,1.7
2014-10-01,0.09,5.7,1.8
2014-11-01,0.09,5.8,1.7
2014-12-01,0.12,5.6,1.6
2015-01-01,0.11,5.7,1.6
2015-02-01,0.11,5.5,1.7
2015-03-01,0.11,5.4,1.8
2015-04-01,0.12,5.4,1.8
2015-05-01,0.12,5.5,1.7
2015-06-01,0.13,5.3,1.8
2015-07-01,0.13,5.2,1.8
2015-08-01,0.14,5.1,1.8
2015-09-01,0.14,5.0,1.9
2015-10-01,0.12,5.0,1.9
2015-11-01,0.12,5.0,2.0
2015-12-01,0.24,5.0,2.1
2015-12-16,,,
2016-01-01,0.34,4.9,2.2
2016-02-01,0.38,4.9,2.3
2016-03-01,0.36,5.0,2.2
2016-04-01,0.37,5.0,2.1
2016-05-01,0.37,4.7,2.2
2016-06-01,0.38,4.9,2.2
2016-07-01,0.39,4.9,2.2
2016-08-01,0.4,4.9,2.3
2016-09-01,0.4,4.9,2.2
2016-10-01,0.4,4.8,2.1
2016-11-01,0.41,4.6,2.1
2016-12-01,0.54,4.7,2.2
2016-12-14,,,
2017-01-01,0.65,4.8,2.3
2017-02-01,0.66,4.7,2.2
2017-03-01,,,
2017-03-16,,,
